order_id,product,city,supplier,price,quantity,order_date,delivery_date,warehouse,transport_cost,discount,customer_rating,returned,payment_method,delivery_status,notes
ORD1000,Monitor,Bengaluru,Supplier B,₹5132,11,2023-12-25,05/05/2023,WH2,unknown,0,,No,UPI,delivered,
ORD1001,Keyboard,hydrabad,Supplier B,32683 INR,2,06-10-2023,22/12/2023,,200,ten,,yes,UPI,Cancelled,late delivery
ORD1002,Tablet,hydrabad,Supplier B,₹1844,1,03-06-2023,06-27-2023,WH1,100,10,1,YES,,Pending,urgent
ORD1003,Keyboard,Chennai,Supplier C,32869 INR,10,2023-11-05,09/10/2023,WH3,100,,,yes,card ,Pending,
ORD1004,Keyboard,Mumbai,,32516 INR,12,2023-08-03,2023-09-19,,nan,,3,,card ,delivered,
ORD1005,Mobile,Hyderabad,Supplier C,35411,9,11-22-2023,04/06/2023,,300rs,15,4,yes,card ,Delivered,urgent
ORD1006,Tablet,Bengaluru,unknown,₹35031,11,22/09/2023,2023-06-09,WH2,300rs,15,,no,Card,Pending,
ORD1007,Tablet,Delhi,Supplier A,36702 INR,1,06/11/2023,11-16-2023,WH3,nan,ten,3,,card ,Pending,late delivery
ORD1008,Tablet,Chennai,Supplier C,23523,10,2023-08-05,02-21-2023,WH3,nan,15,1,yes,card ,,
ORD1009,Keyboard,chen nai,Supplier B,40.942k,19,2023-12-25,2023-12-27,WH1,100,5,,yes,UPI,,check address
ORD1010,Monitor,Delhi,Supplier B,33983,11,2023-06-17,2023-12-29,WH1,300rs,10,2,No,Cash,Delivered,urgent
ORD1011,Tablet,mumbai ,unknown,5776,3,2023-11-16,2023-03-14,,100,10,1,yes,card ,delivered,check address
ORD1012,Mouse,hydrabad,,19724 INR,16,31/05/2023,21/07/2023,,200,0,1,,card ,Cancelled,check address
ORD1013,Keyboard,banglore,Supplier A,15100 INR,10,2023-03-20,2023-11-02,WH2,200,ten,1,yes,Cash,Pending,
ORD1014,Mobile,banglore,Supplier C,43.467k,2,02-07-2023,12-19-2023,,nan,15,3,No,card ,Cancelled,late delivery
ORD1015,Monitor,chen nai,,34884,19,2023-02-12,2023-02-18,WH2,300rs,15,5,YES,Cash,Cancelled,urgent
ORD1016,Mouse,banglore,,41518 INR,4,2023-10-18,2023-06-22,WH2,200,5,3,No,Cash,Cancelled,urgent
ORD1017,Mouse,banglore,Supplier C,₹47348,16,2023-10-03,03-23-2023,WH3,300rs,15,5,No,card ,Delivered,
ORD1018,Mobile,Bengaluru,Supplier C,₹14932,6,03/04/2023,2023-09-10,WH3,300rs,15,3,yes,Card,delivered,check address
ORD1019,Monitor,Bengaluru,Supplier C,44700 INR,11,2023-06-04,12/06/2023,,300,10,,YES,card ,delivered,urgent
ORD1020,Keyboard,Mumbai,Supplier C,₹22718,17,2023-08-06,2023-03-28,,200,15,,,Card,,check address
ORD1021,Laptop,delhi,Supplier B,₹47014,15,2023-04-21,03-05-2023,WH3,200,ten,,,card ,Cancelled,
ORD1022,Monitor,chen nai,,20.64k,4,18/10/2023,08/09/2023,,100,5,1,no,Card,Cancelled,late delivery
ORD1023,Mobile,banglore,,43108,8,18/01/2023,2023-11-30,WH3,100,5,2,No,card ,Pending,
ORD1024,Mouse,Mumbai,Supplier B,20560 INR,18,2023-04-10,04-12-2023,WH1,unknown,,4,No,,Delivered,check address
ORD1025,Keyboard,chen nai,,7380,14,2023-03-16,2023-01-17,,300rs,,5,no,,Cancelled,check address
ORD1026,Monitor,banglore,Supplier C,48756,2,17/01/2023,07-28-2023,WH2,nan,0,3,yes,Cash,Delivered,urgent
ORD1027,Laptop,Hyderabad,Supplier A,29829 INR,16,06-01-2023,09-30-2023,WH1,100,5,,,UPI,,urgent
ORD1028,Laptop,hydrabad,,49601 INR,15,2023-12-26,12-31-2023,WH1,100,ten,2,,,Delivered,
ORD1029,Tablet,Bangalore,Supplier A,₹30579,6,2023-02-25,2023-01-27,,unknown,5,4,no,,delivered,check address
ORD1030,Tablet,Hyderabad,Supplier A,31200 INR,9,2023-04-01,01-09-2023,WH3,unknown,ten,2,no,card ,Delivered,check address
ORD1031,Mobile,Chennai,Supplier B,₹20729,12,01-23-2023,30/03/2023,WH2,300rs,ten,,no,UPI,Cancelled,
ORD1032,Monitor,chen nai,unknown,₹29537,10,2023-09-29,2023-09-18,WH3,unknown,10,5,YES,card ,Cancelled,check address
ORD1033,Monitor,delhi,,₹43100,7,07-25-2023,2023-04-03,,200,,5,No,card ,Cancelled,check address
ORD1034,Mouse,Chennai,Supplier B,₹25125,5,07/08/2023,2023-06-28,WH3,100,ten,4,,Cash,Cancelled,late delivery
ORD1035,Mouse,Mumbai,Supplier B,6.655k,8,12-17-2023,24/03/2023,,nan,0,4,yes,card ,Delivered,late delivery
ORD1036,Mouse,Mumbai,Supplier A,3.448k,12,03-24-2023,11/08/2023,,300rs,10,,YES,card ,Cancelled,check address
ORD1037,Tablet,banglore,,15185 INR,1,19/05/2023,2023-04-23,WH2,200,ten,,No,Cash,delivered,
ORD1038,Monitor,Chennai,Supplier B,₹18211,10,06-02-2023,2023-07-17,,300,10,5,YES,card ,Pending,check address
ORD1039,Monitor,hydrabad,Supplier C,23280 INR,11,03-21-2023,2023-09-26,WH2,nan,,5,No,UPI,Cancelled,urgent
ORD1040,Laptop,banglore,Supplier B,₹34971,5,12-02-2023,2023-12-01,WH1,unknown,10,1,no,Cash,,urgent
ORD1041,Tablet,chen nai,Supplier C,40387 INR,13,08/07/2023,2023-02-20,WH3,200,,4,yes,,Pending,
ORD1042,Keyboard,Mumbai,unknown,7798,18,2023-03-08,19/03/2023,,300rs,5,4,no,card ,Delivered,
ORD1043,Tablet,Bangalore,Supplier C,18.228k,10,01-04-2023,2023-07-29,WH3,300,5,5,,UPI,delivered,late delivery
ORD1044,Keyboard,Mumbai,Supplier C,36.739k,17,30/11/2023,24/11/2023,WH3,unknown,,3,,Card,delivered,urgent
ORD1045,Laptop,Bengaluru,Supplier A,35036,19,01-09-2023,06/01/2023,WH2,unknown,ten,1,,Cash,,check address
ORD1046,Mobile,Delhi,Supplier B,49.72k,4,2023-10-20,03-24-2023,WH3,nan,15,3,,Cash,Cancelled,check address
ORD1047,Monitor,delhi,unknown,30.309k,9,04-28-2023,03-19-2023,WH3,100,15,5,YES,card ,,
ORD1048,Laptop,Chennai,Supplier B,5744,18,14/09/2023,2023-03-11,WH3,100,0,1,yes,card ,Cancelled,check address
ORD1049,Monitor,banglore,Supplier C,41503,16,10-06-2023,2023-02-02,,nan,15,1,yes,Cash,Cancelled,urgent
