order_id,product,city,supplier,price_cleaned,quantity,order_date_clean,delivery_date_clean,warehouse,transport_cost,discount,customer_rating,returned,payment_method,delivery_status,notes
ORD1000,Monitor,Bangalore,Supplier B,5132.0,11,2023-12-25,2023-05-05,WH2,300.0,0.0,,No,Upi,Delivered,No Notes
ORD1001,Keyboard,Hyderabad,Supplier B,32683.0,2,2023-06-10,2023-12-22,Unknown,200.0,10.0,,Yes,Upi,Cancelled,late delivery
ORD1002,Tablet,Hyderabad,Supplier B,1844.0,1,2023-03-06,2023-06-27,WH1,100.0,10.0,1.0,Yes,Unknown,Pending,urgent
ORD1003,Keyboard,Chennai,Supplier C,32869.0,10,2023-11-05,2023-09-10,WH3,100.0,0.0,,Yes,Card,Pending,No Notes
ORD1004,Keyboard,Mumbai,Unknown,32516.0,12,2023-08-03,2023-09-19,Unknown,200.0,0.0,3.0,No,Card,Delivered,No Notes
ORD1005,Mobile,Hyderabad,Supplier C,35411.0,9,2023-11-22,2023-04-06,Unknown,300.0,15.0,4.0,Yes,Card,Delivered,urgent
ORD1006,Tablet,Bangalore,Unknown,35031.0,11,2023-09-22,2023-06-09,WH2,300.0,15.0,,No,Card,Pending,No Notes
ORD1007,Tablet,Delhi,Supplier A,36702.0,1,2023-06-11,2023-11-16,WH3,300.0,10.0,3.0,No,Card,Pending,late delivery
ORD1008,Tablet,Chennai,Supplier C,23523.0,10,2023-08-05,2023-02-21,WH3,300.0,15.0,1.0,Yes,Card,Unknown,No Notes
ORD1009,Keyboard,Chennai,Supplier B,40942.0,19,2023-12-25,2023-12-27,WH1,100.0,5.0,,Yes,Upi,Unknown,check address
ORD1010,Monitor,Delhi,Supplier B,33983.0,11,2023-06-17,2023-12-29,WH1,300.0,10.0,2.0,No,Cash,Delivered,urgent
ORD1011,Tablet,Mumbai,Unknown,5776.0,3,2023-11-16,2023-03-14,Unknown,100.0,10.0,1.0,Yes,Card,Delivered,check address
ORD1012,Mouse,Hyderabad,Unknown,19724.0,16,2023-05-31,2023-07-21,Unknown,200.0,0.0,1.0,No,Card,Cancelled,check address
ORD1013,Keyboard,Bangalore,Supplier A,15100.0,10,2023-03-20,2023-11-02,WH2,200.0,10.0,1.0,Yes,Cash,Pending,No Notes
ORD1014,Mobile,Bangalore,Supplier C,43467.0,2,2023-02-07,2023-12-19,Unknown,300.0,15.0,3.0,No,Card,Cancelled,late delivery
